Jurisdiction,Measure Names,Measure Values
Washington,COVID-19 Vaccine Regimen Initiated,9838
Warren,COVID-19 Vaccine Regimen Initiated,17264
Vernon,COVID-19 Vaccine Regimen Initiated,7936
Unknown Jurisdiction,COVID-19 Vaccine Regimen Initiated,92984
Texas,COVID-19 Vaccine Regimen Initiated,9295
Taney,COVID-19 Vaccine Regimen Initiated,27017
Sullivan,COVID-19 Vaccine Regimen Initiated,2900
Stone,COVID-19 Vaccine Regimen Initiated,14908
Stoddard,COVID-19 Vaccine Regimen Initiated,12663
Ste. Genevieve,COVID-19 Vaccine Regimen Initiated,7421
St. Louis City,COVID-19 Vaccine Regimen Initiated,213857
St. Louis,COVID-19 Vaccine Regimen Initiated,751707
St. Francois,COVID-19 Vaccine Regimen Initiated,33747
St. Clair,COVID-19 Vaccine Regimen Initiated,3914
St. Charles,COVID-19 Vaccine Regimen Initiated,281243
Shelby,COVID-19 Vaccine Regimen Initiated,2832
Shannon,COVID-19 Vaccine Regimen Initiated,2971
Scott,COVID-19 Vaccine Regimen Initiated,17653
Scotland,COVID-19 Vaccine Regimen Initiated,1414
Schuyler,COVID-19 Vaccine Regimen Initiated,1461
Saline,COVID-19 Vaccine Regimen Initiated,12197
Ripley,COVID-19 Vaccine Regimen Initiated,4329
Reynolds,COVID-19 Vaccine Regimen Initiated,2159
Ray,COVID-19 Vaccine Regimen Initiated,11523
Randolph,COVID-19 Vaccine Regimen Initiated,11361
Ralls,COVID-19 Vaccine Regimen Initiated,4438
Putnam,COVID-19 Vaccine Regimen Initiated,1672
Pulaski,COVID-19 Vaccine Regimen Initiated,14678
Polk,COVID-19 Vaccine Regimen Initiated,14897
Platte,COVID-19 Vaccine Regimen Initiated,27688
Pike,COVID-19 Vaccine Regimen Initiated,7573
Phelps,COVID-19 Vaccine Regimen Initiated,22329
Pettis,COVID-19 Vaccine Regimen Initiated,21185
Perry,COVID-19 Vaccine Regimen Initiated,8460
Pemiscot,COVID-19 Vaccine Regimen Initiated,5630
Ozark,COVID-19 Vaccine Regimen Initiated,3149
Osage,COVID-19 Vaccine Regimen Initiated,6472
Oregon,COVID-19 Vaccine Regimen Initiated,3646
Nodaway,COVID-19 Vaccine Regimen Initiated,11810
Newton,COVID-19 Vaccine Regimen Initiated,18432
New Madrid,COVID-19 Vaccine Regimen Initiated,7058
Morgan,COVID-19 Vaccine Regimen Initiated,8437
Montgomery,COVID-19 Vaccine Regimen Initiated,5861
Monroe,COVID-19 Vaccine Regimen Initiated,4037
Moniteau,COVID-19 Vaccine Regimen Initiated,6824
Mississippi,COVID-19 Vaccine Regimen Initiated,5806
Miller,COVID-19 Vaccine Regimen Initiated,10728
Mercer,COVID-19 Vaccine Regimen Initiated,1550
McDonald,COVID-19 Vaccine Regimen Initiated,9067
Marion,COVID-19 Vaccine Regimen Initiated,12946
Maries,COVID-19 Vaccine Regimen Initiated,3774
Madison,COVID-19 Vaccine Regimen Initiated,5339
Macon,COVID-19 Vaccine Regimen Initiated,6864
Livingston,COVID-19 Vaccine Regimen Initiated,7554
Linn,COVID-19 Vaccine Regimen Initiated,6044
Lincoln,COVID-19 Vaccine Regimen Initiated,28032
Lewis,COVID-19 Vaccine Regimen Initiated,3403
Lawrence,COVID-19 Vaccine Regimen Initiated,18119
Lafayette,COVID-19 Vaccine Regimen Initiated,16827
Laclede,COVID-19 Vaccine Regimen Initiated,14845
Knox,COVID-19 Vaccine Regimen Initiated,1740
Kansas City,COVID-19 Vaccine Regimen Initiated,352072
Joplin,COVID-19 Vaccine Regimen Initiated,37345
Johnson,COVID-19 Vaccine Regimen Initiated,23139
Jefferson,COVID-19 Vaccine Regimen Initiated,129036
Jasper,COVID-19 Vaccine Regimen Initiated,30512
Jackson,COVID-19 Vaccine Regimen Initiated,175052
Iron,COVID-19 Vaccine Regimen Initiated,4204
Independence,COVID-19 Vaccine Regimen Initiated,72378
Howell,COVID-19 Vaccine Regimen Initiated,16834
Howard,COVID-19 Vaccine Regimen Initiated,5033
Holt,COVID-19 Vaccine Regimen Initiated,2036
Hickory,COVID-19 Vaccine Regimen Initiated,4401
Henry,COVID-19 Vaccine Regimen Initiated,11791
Harrison,COVID-19 Vaccine Regimen Initiated,3239
